book_id,authors,year,title,language_code,image_url,genres
26,Dan Brown,2003.0,"The Da Vinci Code (Robert Langdon, #2)",eng,https://images.gr-assets.com/books/1303252999m/968.jpg,Science Fiction|Fiction|Young Adult|Fantasy
27,"J.K. Rowling, Mary GrandPré",2005.0,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,https://images.gr-assets.com/books/1361039191m/1.jpg,Young Adult|Fiction|Contemporary
28,William Golding,1954.0,Lord of the Flies,eng,https://images.gr-assets.com/books/1327869409m/7624.jpg,Fantasy|Young Adult|Fantasy|Paranormal|Romance
29,"William Shakespeare, Robert           Jackson",1595.0,Romeo and Juliet,eng,https://images.gr-assets.com/books/1327872146m/18135.jpg,Fiction|Historical|Historical Fiction|Historical|Adult
30,Gillian Flynn,2012.0,Gone Girl,eng,https://images.gr-assets.com/books/1339602131m/8442457.jpg,Classics|Fiction|Academic|School|Literature|Historical|Historical Fiction|Romance|Novels|Academic|Read For School|Young Adult|High School|Literature|American
31,Kathryn Stockett,2009.0,The Help,eng,https://images.gr-assets.com/books/1346100365m/4667024.jpg,Fiction|Romance|Fantasy|Science Fiction|Time Travel|Science Fiction
32,John Steinbeck,1937.0,Of Mice and Men,eng,https://images.gr-assets.com/books/1437235233m/890.jpg,Classics|Childrens|Fiction
33,Arthur Golden,1997.0,Memoirs of a Geisha,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Classics|Fiction|Young Adult|Childrens|Historical|Historical Fiction|Historical|Cultural|Canada|Childrens|Middle Grade|Audiobook|Young Adult|Coming Of Age
34,E.L. James,2011.0,"Fifty Shades of Grey (Fifty Shades, #1)",eng,https://images.gr-assets.com/books/1385207843m/10818853.jpg,Classics|Fiction|Academic|School|Literature|Historical|Historical Fiction
35,"Paulo Coelho, Alan R. Clarke",1988.0,The Alchemist,eng,https://images.gr-assets.com/books/1483412266m/865.jpg,Classics|Horror|Fiction|Fantasy|Paranormal|Vampires
36,Lois Lowry,1993.0,"The Giver (The Giver, #1)",eng,https://images.gr-assets.com/books/1342493368m/3636.jpg,Classics|Fiction|Science Fiction|Science Fiction|Dystopia|Literature|Novels|Academic|School|Fantasy|Science Fiction Fantasy|Philosophy
37,C.S. Lewis,1950.0,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng,https://images.gr-assets.com/books/1353029077m/100915.jpg,Fiction|Classics|Magical Realism|Literature
38,Audrey Niffenegger,2003.0,The Time Traveler's Wife,eng,https://images.gr-assets.com/books/1437728815m/14050.jpg,Classics|Fiction|Fantasy|Childrens
39,George R.R. Martin,1996.0,"A Game of Thrones (A Song of Ice and Fire, #1)",eng,https://images.gr-assets.com/books/1436732693m/13496.jpg,Fantasy|Fiction|Classics|Romance|Humor|Young Adult
40,Elizabeth Gilbert,2006.0,"Eat, Pray, Love",eng,https://images.gr-assets.com/books/1503066414m/19501.jpg,Classics|Fiction|Childrens|Young Adult|Historical|Historical Fiction|Childrens|Middle Grade|Literature|Fantasy|Historical|Novels
41,Rick Riordan,2005.0,"The Lightning Thief (Percy Jackson and the Olympians, #1)",eng,https://images.gr-assets.com/books/1400602609m/28187.jpg,Classics|Fiction|Young Adult|Literature
42,Louisa May Alcott,1868.0,"Little Women (Little Women, #1)",en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Fiction|Historical|Historical Fiction
43,"Charlotte Brontë, Michael Mason",1847.0,Jane Eyre,eng,https://images.gr-assets.com/books/1327867269m/10210.jpg,Fantasy|Young Adult|Fiction|Classics|Science Fiction|Childrens
44,Nicholas Sparks,1996.0,"The Notebook (The Notebook, #1)",eng,https://images.gr-assets.com/books/1385738917m/15931.jpg,Classics|Fiction|Science Fiction|Science Fiction|Dystopia
45,Yann Martel,2001.0,Life of Pi,,https://images.gr-assets.com/books/1320562005m/4214.jpg,Fantasy|Fiction|Fantasy|Epic Fantasy
46,Sara Gruen,2006.0,Water for Elephants,eng,https://images.gr-assets.com/books/1494428973m/43641.jpg,Fantasy|Young Adult|Fantasy|Mythology|Fiction
47,Markus Zusak,2005.0,The Book Thief,eng,https://images.gr-assets.com/books/1390053681m/19063.jpg,Classics|Fiction|Historical|Historical Fiction|Literature|Young Adult
48,Ray Bradbury,1953.0,Fahrenheit 451,spa,https://images.gr-assets.com/books/1351643740m/4381.jpg,Fiction|Mystery|Young Adult|Contemporary
49,Stephenie Meyer,2006.0,"New Moon (Twilight, #2)",eng,https://images.gr-assets.com/books/1361039440m/49041.jpg,Childrens|Childrens|Picture Books|Fiction|Classics
50,Shel Silverstein,1974.0,Where the Sidewalk Ends,eng,https://images.gr-assets.com/books/1168052448m/30119.jpg,Childrens|Childrens|Picture Books|Classics|Fiction
51,Cassandra Clare,2007.0,"City of Bones (The Mortal Instruments, #1)",eng,https://images.gr-assets.com/books/1432730315m/256683.jpg,Fantasy|Young Adult|Fiction
52,Stephenie Meyer,2007.0,"Eclipse (Twilight, #3)",en-US,https://images.gr-assets.com/books/1361038355m/428263.jpg,Fiction|Fantasy|Classics|Adventure
53,Christopher Paolini,2002.0,"Eragon (The Inheritance Cycle, #1)",en-US,https://images.gr-assets.com/books/1366212852m/113436.jpg,Classics|Fiction|Historical|Historical Fiction|Literature
54,Douglas Adams,1979.0,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",en-US,https://images.gr-assets.com/books/1327656754m/11.jpg,Classics|Young Adult|Fiction|Academic|School
55,Aldous Huxley,1932.0,Brave New World,eng,https://images.gr-assets.com/books/1487389574m/5129.jpg,Fiction|Historical|Historical Fiction|Romance|Historical
56,Stephenie Meyer,2008.0,"Breaking Dawn (Twilight, #4)",en-US,https://images.gr-assets.com/books/1361039438m/1162543.jpg,Classics|Fiction|Poetry|Fantasy|Mythology|Fantasy|Academic|School|Literature|Adventure|Academic|Read For School|Historical|Historical Fiction
57,Sue Monk Kidd,2001.0,The Secret Life of Bees,en-US,https://images.gr-assets.com/books/1473454532m/37435.jpg,Classics|Fiction|Literature
58,"Mark Twain, John Seelye, Guy Cardwell",1884.0,The Adventures of Huckleberry Finn,eng,https://images.gr-assets.com/books/1405973850m/2956.jpg,Classics|Fiction|Science Fiction|War
59,"E.B. White, Garth Williams, Rosemary Wells",1952.0,Charlotte's Web,eng,https://images.gr-assets.com/books/1439632243m/24178.jpg,Classics|Fiction|War|Historical|Historical Fiction|Humor
60,Mark Haddon,2003.0,The Curious Incident of the Dog in the Night-Time,eng,https://images.gr-assets.com/books/1479863624m/1618.jpg,Classics|Fiction|Horror|Science Fiction|Gothic|Fantasy|Literature|Academic|School|Novels|Literature|19th Century
61,Paula Hawkins,2015.0,The Girl on the Train,eng,https://images.gr-assets.com/books/1490903702m/22557272.jpg,Fiction|Historical|Historical Fiction|Contemporary
62,Philip Pullman,1995.0,"The Golden Compass (His Dark Materials, #1)",eng,https://images.gr-assets.com/books/1451271747m/119322.jpg,Historical|Historical Fiction|Fiction|Historical
63,"Emily Brontë, Richard J. Dunn",1847.0,Wuthering Heights,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Horror|Fiction|Fantasy|Science Fiction|Apocalyptic|Post Apocalyptic
64,Jodi Picoult,2004.0,My Sister's Keeper,eng,https://images.gr-assets.com/books/1369504683m/10917.jpg,Young Adult|Fiction|Classics|Science Fiction|Dystopia|Science Fiction
65,Kurt Vonnegut Jr.,1969.0,Slaughterhouse-Five,eng,https://images.gr-assets.com/books/1440319389m/4981.jpg,Classics|Fiction|Fantasy|Young Adult|Animals
66,Margaret Mitchell,1936.0,Gone with the Wind,eng,https://images.gr-assets.com/books/1328025229m/18405.jpg,Fiction|Classics|Science Fiction|Dystopia|Science Fiction|Feminism
67,Khaled Hosseini,2007.0,A Thousand Splendid Suns,eng,https://images.gr-assets.com/books/1345958969m/128029.jpg,Classics|Mystery|Fiction|Short Stories|Mystery|Crime|Mystery|Detective|Literature|Adventure|Literature|19th Century|Historical|Historical Fiction
68,Stephen Chbosky,1999.0,The Perks of Being a Wallflower,eng,https://images.gr-assets.com/books/1167352178m/22628.jpg,Fiction|Contemporary|Womens Fiction|Chick Lit
69,Veronica Roth,2012.0,"Insurgent (Divergent, #2)",eng,https://images.gr-assets.com/books/1325667729m/11735983.jpg,Classics|Fiction|Literature|Psychology
70,Orson Scott Card,1985.0,"Ender's Game (Ender's Saga, #1)",eng,https://images.gr-assets.com/books/1408303130m/375802.jpg,Classics|Fiction|Feminism|Psychology|Mental Health|Mental Illness|Literature|Health|Mental Health|Novels|Poetry|Literature|American
71,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,Frankenstein,eng,https://images.gr-assets.com/books/1381512375m/18490.jpg,Historical|Historical Fiction|Romance|Fantasy|Fiction|Science Fiction|Time Travel|Historical|Romance|Historical Romance
72,Stephen King,1977.0,The Shining (The Shining #1),eng,https://images.gr-assets.com/books/1353277730m/11588.jpg,Fiction|Mystery|Thriller|Mystery|Crime
73,Stephenie Meyer,2008.0,"The Host (The Host, #1)",en-US,https://images.gr-assets.com/books/1318009171m/1656001.jpg,Classics|Fiction|Mystery|Romance|Gothic
74,John Green,2005.0,Looking for Alaska,eng,https://images.gr-assets.com/books/1394798630m/99561.jpg,Classics|Fiction|Historical|Historical Fiction|Young Adult
75,Helen Fielding,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",eng,https://images.gr-assets.com/books/1292060045m/227443.jpg,Childrens|Fiction|Fantasy|Classics
76,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,Sense and Sensibility,eng,https://images.gr-assets.com/books/1397245675m/14935.jpg,Classics|Fiction|Historical|Historical Fiction|Feminism
77,"Louis Sachar, Louis Sachar",1998.0,"Holes (Holes, #1)",eng,https://images.gr-assets.com/books/1327781893m/38709.jpg,Fantasy|Classics|Fiction|Adventure
78,Lauren Weisberger,2003.0,"The Devil Wears Prada (The Devil Wears Prada, #1)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Classics|Fiction|Historical|Historical Fiction|Young Adult
79,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,The Odyssey,eng,https://images.gr-assets.com/books/1390173285m/1381.jpg,Fiction|Science Fiction|Science Fiction|Dystopia|Apocalyptic|Post Apocalyptic
80,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0,The Little Prince,eng,https://images.gr-assets.com/books/1367545443m/157993.jpg,Nonfiction|Autobiography|Memoir|Biography
81,Jeannette Walls,2005.0,The Glass Castle,eng,https://images.gr-assets.com/books/1400930557m/7445.jpg,Classics|Fiction|Science Fiction|Science Fiction|Dystopia
82,Jon Krakauer,1996.0,Into the Wild,eng,https://images.gr-assets.com/books/1403173986m/1845.jpg,Classics|Fiction|Cultural|Russia|Literature|Literature|Russian Literature
83,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,A Tale of Two Cities,eng,https://images.gr-assets.com/books/1344922523m/1953.jpg,Science Fiction|Fiction|Fantasy|Classics
84,Michael Crichton,1990.0,"Jurassic Park (Jurassic Park, #1)",spa,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Young Adult|Paranormal|Vampires|Fantasy|Fantasy|Paranormal|Romance
85,Shel Silverstein,1964.0,The Giving Tree,eng,https://images.gr-assets.com/books/1174210942m/370493.jpg,Fiction|Historical|Historical Fiction|Cultural|Africa|Classics
86,John Grisham,1989.0,A Time to Kill,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Classics|Fiction|Philosophy|Religion|Literature|Spirituality
87,"Elie Wiesel, Marion Wiesel",1958.0,Night (The Night Trilogy #1),eng,https://images.gr-assets.com/books/1473495285m/1617.jpg,Fiction|Classics|Philosophy|Literature|Politics
88,John Green,2008.0,Paper Towns,en-US,https://images.gr-assets.com/books/1349013610m/6442769.jpg,Fantasy|Young Adult|Fiction
89,William Goldman,1973.0,"The Princess Bride ",en-US,https://images.gr-assets.com/books/1327903636m/21787.jpg,Classics|Fiction|Literature|European Literature|Spanish Literature
90,S.E. Hinton,1967.0,The Outsiders,en-US,https://images.gr-assets.com/books/1442129426m/231804.jpg,Fantasy|Young Adult|Fiction
91,James Dashner,2009.0,"The Maze Runner (Maze Runner, #1)",eng,https://images.gr-assets.com/books/1375596592m/6186357.jpg,Classics|Fiction|Science Fiction|Science Fiction|Dystopia
92,"Steven D. Levitt, Stephen J. Dubner",2005.0,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",en-US,https://images.gr-assets.com/books/1327909092m/1202.jpg,Romance|Fiction|Womens Fiction|Chick Lit|Contemporary
93,Frances Hodgson Burnett,1911.0,The Secret Garden,eng,https://images.gr-assets.com/books/1327873635m/2998.jpg,Classics|Fiction|Literature|Novels|Literature|American|Academic|School|Adventure|Classics|Classic Literature|Literature|20th Century|Literary Fiction
94,"Gabriel García Márquez, Gregory Rabassa",1967.0,One Hundred Years of Solitude,eng,https://images.gr-assets.com/books/1327881361m/320.jpg,Classics|Fiction|Literature|Historical|Historical Fiction
95,"Oscar Wilde, Jeffrey Eugenides",1891.0,The Picture of Dorian Gray,eng,https://images.gr-assets.com/books/1424596966m/5297.jpg,Classics|Poetry|Horror|Fiction|Short Stories
96,E.L. James,2012.0,"Fifty Shades Freed (Fifty Shades, #3)",eng,https://images.gr-assets.com/books/1336418837m/13536860.jpg,Fiction|Classics|Literature|Contemporary
97,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0,Dracula,eng,https://images.gr-assets.com/books/1387151694m/17245.jpg,Classics|Childrens|Fiction
98,"Stieg Larsson, Reg Keeland",2006.0,"The Girl Who Played with Fire (Millennium, #2)",eng,https://images.gr-assets.com/books/1351778881m/5060378.jpg,Classics|Fiction|Cultural|Russia|Romance
99,E.L. James,2011.0,"Fifty Shades Darker (Fifty Shades, #2)",eng,https://images.gr-assets.com/books/1358266080m/11857408.jpg,Classics|Fiction|Literature|Adventure
100,Barbara Kingsolver,1998.0,The Poisonwood Bible,eng,https://images.gr-assets.com/books/1412242487m/7244.jpg,Horror|Fantasy|Fiction|Paranormal|Vampires|Fantasy|Paranormal
101,David Sedaris,2000.0,Me Talk Pretty One Day,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Classics|Fiction|Science Fiction|Science Fiction|Dystopia
102,Maurice Sendak,1963.0,Where the Wild Things Are,eng,https://images.gr-assets.com/books/1384434560m/19543.jpg,Historical|Historical Fiction|Fiction|Christian|Literature
103,"Alexandre Dumas, Robin Buss",1844.0,The Count of Monte Cristo,eng,https://images.gr-assets.com/books/1309203605m/7126.jpg,Fiction|Historical|Historical Fiction|Young Adult|Adult Fiction
104,Cormac McCarthy,2006.0,The Road,eng,https://images.gr-assets.com/books/1439197219m/6288.jpg,Fantasy|Young Adult|Fiction
105,Veronica Roth,2013.0,"Allegiant (Divergent, #3)",eng,https://images.gr-assets.com/books/1395582745m/18710190.jpg,Fantasy|Young Adult|Fantasy|Paranormal|Science Fiction|Steampunk|Romance
106,Tina Fey,2011.0,Bossypants,eng,https://images.gr-assets.com/books/1481509554m/9418327.jpg,Fiction|Historical|Historical Fiction|Contemporary
107,Nicholas Sparks,1999.0,A Walk to Remember,en-US,https://images.gr-assets.com/books/1385738968m/3473.jpg,Classics|Fiction|Literature|Historical|Historical Fiction
108,Sophie Kinsella,2000.0,"Confessions of a Shopaholic (Shopaholic, #1)",eng,https://images.gr-assets.com/books/1327872404m/9416.jpg,Classics|Fiction|Adventure|Young Adult|Historical|Historical Fiction|Literature|Childrens|Academic|School|Novels|Literature|American
109,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862.0,Les Misérables,eng,https://images.gr-assets.com/books/1411852091m/24280.jpg,Classics|Fiction|Philosophy|Cultural|France|Literature|Novels|European Literature|French Literature|Academic|School|Literature|20th Century|Academic|Read For School
110,George R.R. Martin,1998.0,"A Clash of Kings  (A Song of Ice and Fire, #2)",eng,https://images.gr-assets.com/books/1358254974m/10572.jpg,Mystery|Classics|Fiction|Mystery|Crime|Thriller
111,Kim Edwards,2005.0,The Memory Keeper's Daughter,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Fiction|Classics|Cultural|Russia|Fantasy|Literature|Russian Literature|Magical Realism
112,Jojo Moyes,2012.0,"Me Before You (Me Before You, #1)",eng,https://images.gr-assets.com/books/1357108762m/15507958.jpg,Childrens|Fantasy|Fiction|Classics
113,Joseph Heller,1961.0,Catch-22,en-US,https://images.gr-assets.com/books/1463157317m/168668.jpg,Fantasy|Young Adult|Fiction
114,"Mitch Albom, Saulius Dagys",1997.0,Tuesdays with Morrie,eng,https://images.gr-assets.com/books/1423763749m/6900.jpg,Horror|Fiction|Thriller
115,Jeffrey Eugenides,2002.0,Middlesex,en-US,https://images.gr-assets.com/books/1437029776m/2187.jpg,Classics|Fiction|Travel|Literature
116,"Mark Twain, Guy Cardwell, John Seelye",1876.0,The Adventures of Tom Sawyer,eng,https://images.gr-assets.com/books/1404811979m/24583.jpg,Fantasy|Young Adult|Fiction|Fantasy|Dragons
117,Madeleine L'Engle,1962.0,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",en-US,https://images.gr-assets.com/books/1329061522m/18131.jpg,Childrens|Picture Books|Childrens
118,Amy Tan,1989.0,The Joy Luck Club,eng,https://images.gr-assets.com/books/1304978653m/7763.jpg,Nonfiction|Autobiography|Memoir|Biography|Inspirational
119,Margaret Atwood,1985.0,The Handmaid's Tale,eng,https://images.gr-assets.com/books/1498057733m/38447.jpg,Fiction|Classics|Science Fiction|Young Adult
120,Ann Brashares,2001.0,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",eng,https://images.gr-assets.com/books/1461611233m/452306.jpg,Fiction|Historical|Historical Fiction|Mystery|Fantasy
121,"Vladimir Nabokov, Craig Raine",1955.0,Lolita,eng,https://images.gr-assets.com/books/1377756377m/7604.jpg,Fantasy|Fiction|Fantasy|Epic Fantasy
122,"Gregory Maguire, Douglas Smith",1995.0,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",eng,https://images.gr-assets.com/books/1437733293m/37442.jpg,Young Adult|Fiction|Contemporary|Romance
123,John Grisham,1991.0,"The Firm (Penguin Readers, Level 5)",eng,https://images.gr-assets.com/books/1418465200m/5358.jpg,Fiction|Mystery|Young Adult|Contemporary
124,Emma Donoghue,2010.0,Room,eng,https://images.gr-assets.com/books/1344265419m/7937843.jpg,Fiction|Classics|Philosophy|Literature|Novels
125,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,Hamlet,eng,https://images.gr-assets.com/books/1351051208m/1420.jpg,Classics|Fiction|Fantasy|Literature|Short Stories|Philosophy
126,Frank Herbert,1965.0,Dune (Dune Chronicles #1),eng,https://images.gr-assets.com/books/1434908555m/234225.jpg,Fiction|Historical|Historical Fiction|Mystery|Classics|Historical|Literature
127,Malcolm Gladwell,2000.0,The Tipping Point: How Little Things Can Make a Big Difference,eng,https://images.gr-assets.com/books/1473396980m/2612.jpg,Classics|Fiction|Historical|Historical Fiction|Academic|School
128,Walter Isaacson,2011.0,Steve Jobs,eng,https://images.gr-assets.com/books/1327861368m/11084145.jpg,Fantasy|Young Adult|Fiction
129,Ken Kesey,1962.0,One Flew Over the Cuckoo's Nest,eng,https://images.gr-assets.com/books/1485308778m/332613.jpg,Young Adult|Fantasy|Fantasy|Paranormal|Paranormal|Angels|Romance
130,Ernest Hemingway,1952.0,The Old Man and the Sea,eng,https://images.gr-assets.com/books/1329189714m/2165.jpg,Fiction|Inspirational|Contemporary|Fantasy
131,John Steinbeck,1939.0,The Grapes of Wrath,eng,https://images.gr-assets.com/books/1352912927m/4395.jpg,Fiction|Classics|Mystery|Crime|Thriller|Historical|Historical Fiction
132,Mitch Albom,2003.0,The Five People You Meet in Heaven,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Nonfiction|Classics|Crime|True Crime|Mystery|Crime|Mystery
133,L.M Montgomery,1908.0,"Anne of Green Gables (Anne of Green Gables, #1)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Classics|Fiction|Cultural|Russia|Romance
134,Cassandra Clare,2009.0,"City of Glass (The Mortal Instruments, #3)",en-US,https://images.gr-assets.com/books/1369452339m/3777732.jpg,Fiction|Historical|Historical Fiction|Westerns|Classics|Historical
135,George R.R. Martin,2000.0,"A Storm of Swords (A Song of Ice and Fire, #3)",eng,https://images.gr-assets.com/books/1497931121m/62291.jpg,Childrens|Childrens|Picture Books|Classics|Fiction
136,Rebecca Wells,1996.0,Divine Secrets of the Ya-Ya Sisterhood,en-US,https://images.gr-assets.com/books/1408313524m/137791.jpg,Fiction|Contemporary|Classics|Thriller
137,Diana Gabaldon,1991.0,"Outlander (Outlander, #1)",eng,https://images.gr-assets.com/books/1402600310m/10964.jpg,Young Adult|Fiction|Childrens|Childrens|Middle Grade
138,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,The Scarlet Letter,eng,https://images.gr-assets.com/books/1404810944m/12296.jpg,Science Fiction|Fiction|Fantasy|Classics
139,Ransom Riggs,2011.0,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",en-US,https://images.gr-assets.com/books/1472782916m/9460487.jpg,Classics|Childrens|Historical|Historical Fiction|Fiction|Young Adult
140,"Stieg Larsson, Reg Keeland",2007.0,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",en-US,https://images.gr-assets.com/books/1327708260m/6892870.jpg,Fantasy|Fiction|Fantasy|Urban Fantasy|Fantasy|Mythology|Science Fiction
141,Andy Weir,2012.0,The Martian,eng,https://images.gr-assets.com/books/1413706054m/18007564.jpg,Sequential Art|Graphic Novels|Sequential Art|Comics|Fiction|Science Fiction|Fantasy
142,Ken Follett,1989.0,"The Pillars of the Earth (The Kingsbridge Series, #1)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Classics|Poetry|Fiction|Literature
143,Anthony Doerr,2014.0,All the Light We Cannot See,eng,https://images.gr-assets.com/books/1451445646m/18143977.jpg,Plays|Classics|Humor|Fiction|Drama|Plays|Theatre
144,Laura Hillenbrand,2010.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng,https://images.gr-assets.com/books/1327861115m/8664353.jpg,Classics|Fantasy|Fiction|Childrens
